state_abbr,county,latitude,longitude,total_population,poverty_universe,poverty_below,poverty_rate,no_population,total_reported_crime_Violent Crime,total_reported_crime_Property Crime,property_crime_per_100k_Property Crime,violent_crime_per_100k_Violent Crime
NY,WYOMING,42.535408,-78.42481,39980,37280,3968,0.106437768240343,false,54.5,195,487.743871935968,136.31815907954
NY,OTSEGO,42.69997,-74.92187,59738,54799,7741,0.141261701855873,false,58,483,808.53058354816,97.0906290803174
KS,DONIPHAN,39.788502,-95.147225,7492,6755,662,0.0980014803849001,false,18,63,840.896956753871,240.256273358249
AL,WALKER,33.832783,-87.276886,64886,63567,11429,0.17979454748533,false,170,1398,2154.54797645101,261.997965662855
TN,RHEA,35.600587,-84.949552,33299,32574,4998,0.153435255111439,false,49,285,855.881558004745,147.151566113097
KY,HARLAN,36.859223,-83.221497,26185,25446,6930,0.272341428908276,false,10,68,259.690662593088,38.1898033225129
CA,DEL NORTE,41.754265,-124.20122,27293,24952,2900,0.116223148445014,false,152,633,2319.27600483641,556.919356611585
TX,SMITH,32.375106,-95.268743,238014,231542,28262,0.122059928652253,false,800.5,3437,1444.03270395859,336.324754006067
VA,LUNENBURG,36.945757,-78.242313,11990,11040,1758,0.159239130434783,false,21,41,341.951626355296,175.145954962469
WI,RICHLAND,43.334644,-90.3864,17229,16914,2447,0.144673051909661,false,20,64,371.466713100006,116.083347843752
KS,HARVEY,38.051147,-97.34464,33823,32564,2592,0.0795971010932318,false,155,472,1395.50010347988,458.268042456317
NM,TORRANCE,34.554466,-105.887952,15290,15161,3100,0.20447200052767,false,53,171,1118.37802485285,346.631785480706
FL,BRADFORD,29.952386,-82.16729,27888,23884,4550,0.190504103165299,false,44,72,258.175559380379,157.773952954676
GA,WHITE,34.618458,-83.75649,28454,27808,3261,0.117268411967779,false,9,322,1131.65108596331,31.6299992971111
AK,SKAGWAY,59.575097,-135.335418,,,,,true,3,3,,
WI,SHAWANO,44.785328,-88.60949,40927,40164,4404,0.109650433223783,false,37,322,786.766682141374,90.4048672025802
IA,CLAYTON,42.891697,-91.356926,17069,16833,2294,0.136279926335175,false,23,42,246.060108969477,134.747202530904
FL,MIAMI-DADE,25.610494,-80.499045,2685296,2644927,394945,0.149321701506318,false,9730,56075,2088.22416597649,362.343667141351
WV,HARDY,39.062195,-78.968025,14236,14114,2491,0.176491426951963,false,37,101,709.468951952796,259.904467547064
KY,FRANKLIN,38.19979,-84.85649,51563,49821,6683,0.134140221994741,false,92,754,1462.28885053236,178.422512266548
MO,NODAWAY,40.34886,-94.87048,20959,18278,3408,0.186453660137871,false,28,238,1135.55036022711,133.594160026719
KY,GRAYSON,37.458577,-86.344011,26586,26050,5027,0.192975047984645,false,12,154,579.252238020011,45.1365380275333
IL,HANCOCK,40.393085,-91.345215,17434,17156,2182,0.127185824201446,false,5,19,108.982448089939,28.6795916026156
RI,BRISTOL,41.729374,-71.28225,50568,47001,3189,0.0678496202208464,false,26,237,468.675842429995,51.4159152032906
NY,STEUBEN,42.957077,-77.34294,93034,91687,12537,0.136736941987414,false,179,899,966.313390803362,192.402777479201
MN,SIBLEY,44.575734,-94.230123,14933,14766,1460,0.0988757957469863,false,7,52,348.222058528092,46.8760463403201
WY,JOHNSON,44.044048,-106.588541,8602,8485,900,0.106069534472599,false,9,58,674.261799581493,104.626830969542
NE,BLAINE,41.92523,-99.990771,385,385,41,0.106493506493506,false,0,0,0,0
MD,WORCESTER,38.39765,-75.16003,53279,52574,4263,0.0810857077642941,false,126,1098,2060.84949041836,236.490925129976
AL,JEFFERSON,33.553444,-86.896536,669744,652226,106524,0.163323755876031,false,3404.5,14095.5,2104.61011968752,508.328555388327
NY,ULSTER,41.947216,-74.265458,182109,175073,25084,0.14327737572327,false,125,1278,701.777506877749,68.6402099841304
TX,LAMB,34.068861,-102.348018,12919,12686,2023,0.159467129118714,false,23,138,1068.19413267281,178.032355445468
MI,ST CLAIR,42.978767,-82.42038,,,,,true,467.5,1113.5,,
MI,HOUGHTON,47.121872,-88.56666,37428,33433,5326,0.159303681990847,false,54,205,547.718285775355,144.277011862777
