name,total_population,poverty_universe,poverty_below,poverty_rate,county,state_name,state_abbr
"Autauga County, Alabama",59285,58731,6275,0.10684306413989204,AUTAUGA,Alabama,AL
"Baldwin County, Alabama",239945,236041,24819,0.10514698717595672,BALDWIN,Alabama,AL
"Barbour County, Alabama",24757,21650,4746,0.2192147806004619,BARBOUR,Alabama,AL
"Bibb County, Alabama",22152,20759,4258,0.20511585336480562,BIBB,Alabama,AL
"Blount County, Alabama",59292,58665,8269,0.14095286797920395,BLOUNT,Alabama,AL
"Bullock County, Alabama",10157,9138,2344,0.25651127161304443,BULLOCK,Alabama,AL
"Butler County, Alabama",18807,18467,3881,0.21015866139600367,BUTLER,Alabama,AL
"Calhoun County, Alabama",116141,112002,19558,0.17462188175211157,CALHOUN,Alabama,AL
"Chambers County, Alabama",34450,33682,5214,0.15480078380143697,CHAMBERS,Alabama,AL
"Cherokee County, Alabama",25224,24829,3606,0.14523339643159208,CHEROKEE,Alabama,AL
"Chilton County, Alabama",45500,44885,6111,0.13614793360810962,CHILTON,Alabama,AL
"Choctaw County, Alabama",12525,12355,2413,0.1953055443140429,CHOCTAW,Alabama,AL
"Clarke County, Alabama",22802,22426,4607,0.2054311959332917,CLARKE,Alabama,AL
"Clay County, Alabama",14188,13870,2295,0.165465032444124,CLAY,Alabama,AL
"Cleburne County, Alabama",15254,15082,1984,0.13154754011404324,CLEBURNE,Alabama,AL
"Coffee County, Alabama",54231,53403,9409,0.17618860363649982,COFFEE,Alabama,AL
"Colbert County, Alabama",57648,57038,9626,0.16876468319366036,COLBERT,Alabama,AL
"Conecuh County, Alabama",11411,11308,3125,0.2763530244074991,CONECUH,Alabama,AL
"Coosa County, Alabama",10323,9986,1161,0.11626276787502504,COOSA,Alabama,AL
"Covington County, Alabama",37647,37028,6681,0.1804310251701415,COVINGTON,Alabama,AL
"Crenshaw County, Alabama",13144,12853,2081,0.1619077258227651,CRENSHAW,Alabama,AL
"Cullman County, Alabama",89463,88470,12299,0.1390188764552956,CULLMAN,Alabama,AL
"Dale County, Alabama",49516,48517,9078,0.1871096728981594,DALE,Alabama,AL
"Dallas County, Alabama",37536,37061,10748,0.29000836458811147,DALLAS,Alabama,AL
"DeKalb County, Alabama",71946,70752,14405,0.20359848484848486,DEKALB,Alabama,AL
"Elmore County, Alabama",88669,84122,8652,0.10285062171607903,ELMORE,Alabama,AL
"Escambia County, Alabama",36695,34135,7238,0.21204042771349055,ESCAMBIA,Alabama,AL
"Etowah County, Alabama",103208,101762,17401,0.17099703229103203,ETOWAH,Alabama,AL
"Fayette County, Alabama",16173,15899,2967,0.1866155104094597,FAYETTE,Alabama,AL
"Franklin County, Alabama",31978,31517,5476,0.1737475013484786,FRANKLIN,Alabama,AL
"Geneva County, Alabama",26726,26426,5035,0.19053205176719898,GENEVA,Alabama,AL
"Greene County, Alabama",7589,7510,2697,0.359121171770972,GREENE,Alabama,AL
"Hale County, Alabama",14749,14456,3454,0.23893193137797455,HALE,Alabama,AL
"Henry County, Alabama",17450,17063,2695,0.15794408955048936,HENRY,Alabama,AL
"Houston County, Alabama",107628,106448,19198,0.18035096948744928,HOUSTON,Alabama,AL
"Jackson County, Alabama",52839,52233,8758,0.16767177837765398,JACKSON,Alabama,AL
"Jefferson County, Alabama",669744,652226,106524,0.1633237558760307,JEFFERSON,Alabama,AL
"Lamar County, Alabama",13809,13685,2061,0.15060284983558642,LAMAR,Alabama,AL
"Lauderdale County, Alabama",95037,92258,12584,0.1364000953846821,LAUDERDALE,Alabama,AL
"Lawrence County, Alabama",33182,32794,4506,0.13740318350917852,LAWRENCE,Alabama,AL
"Lee County, Alabama",177663,170219,32119,0.18869221414765683,LEE,Alabama,AL
"Limestone County, Alabama",107577,104127,10561,0.10142422234386854,LIMESTONE,Alabama,AL
"Lowndes County, Alabama",10008,9844,2913,0.29591629418935395,LOWNDES,Alabama,AL
"Macon County, Alabama",18951,16344,3611,0.22093734703866863,MACON,Alabama,AL
"Madison County, Alabama",397135,385414,40401,0.10482494149148708,MADISON,Alabama,AL
"Marengo County, Alabama",19027,18794,4241,0.2256571246142386,MARENGO,Alabama,AL
"Marion County, Alabama",29190,28544,4809,0.16847673766816143,MARION,Alabama,AL
"Marshall County, Alabama",98712,97268,15841,0.1628593165275322,MARSHALL,Alabama,AL
"Mobile County, Alabama",413162,405368,65948,0.16268674389690355,MOBILE,Alabama,AL
"Monroe County, Alabama",19580,19335,4371,0.226066718386346,MONROE,Alabama,AL
"Montgomery County, Alabama",227197,217651,41981,0.1928821829442548,MONTGOMERY,Alabama,AL
"Morgan County, Alabama",123742,121233,16441,0.13561489033513976,MORGAN,Alabama,AL
"Perry County, Alabama",8231,7350,2296,0.31238095238095237,PERRY,Alabama,AL
"Pickens County, Alabama",18843,17181,3878,0.2257144520109423,PICKENS,Alabama,AL
"Pike County, Alabama",32953,30467,7130,0.23402369777135917,PIKE,Alabama,AL
"Randolph County, Alabama",22310,21670,3983,0.18380249192431933,RANDOLPH,Alabama,AL
"Russell County, Alabama",58858,58278,12966,0.22248532894059508,RUSSELL,Alabama,AL
"St. Clair County, Alabama",92903,90658,10129,0.11172759160802136,ST. CLAIR,Alabama,AL
"Shelby County, Alabama",226955,223062,15442,0.06922738969434507,SHELBY,Alabama,AL
"Sumter County, Alabama",12020,9963,2801,0.2811402188095955,SUMTER,Alabama,AL
"Talladega County, Alabama",81170,77408,13665,0.17653214138073584,TALLADEGA,Alabama,AL
"Tallapoosa County, Alabama",41070,40302,6128,0.15205200734454866,TALLAPOOSA,Alabama,AL
"Tuscaloosa County, Alabama",234036,219924,36620,0.1665120678052418,TUSCALOOSA,Alabama,AL
"Walker County, Alabama",64886,63567,11429,0.17979454748533044,WALKER,Alabama,AL
"Washington County, Alabama",15270,15141,2793,0.18446601941747573,WASHINGTON,Alabama,AL
"Wilcox County, Alabama",10347,10137,2943,0.2903225806451613,WILCOX,Alabama,AL
"Winston County, Alabama",23637,23151,4506,0.1946352209407801,WINSTON,Alabama,AL
"Aleutians East Borough, Alaska",3423,3402,423,0.12433862433862433,ALEUTIANS EAST BOROUGH,Alaska,AK
"Aleutians West Census Area, Alaska",5178,4970,459,0.09235412474849095,ALEUTIANS WEST CENSUS AREA,Alaska,AK
"Anchorage Municipality, Alaska",289069,282916,26226,0.092698892957627,ANCHORAGE MUNICIPALITY,Alaska,AK
"Bethel Census Area, Alaska",18487,18105,4351,0.24032035349351008,BETHEL CENSUS AREA,Alaska,AK
"Bristol Bay Borough, Alaska",878,858,83,0.09673659673659674,BRISTOL BAY BOROUGH,Alaska,AK
"Chugach Census Area, Alaska",6964,6784,326,0.04805424528301887,CHUGACH CENSUS AREA,Alaska,AK
"Copper River Census Area, Alaska",2626,2593,295,0.1137678364828384,COPPER RIVER CENSUS AREA,Alaska,AK
"Denali Borough, Alaska",2029,1994,131,0.06569709127382146,DENALI BOROUGH,Alaska,AK
"Dillingham Census Area, Alaska",4780,4740,774,0.16329113924050634,DILLINGHAM CENSUS AREA,Alaska,AK
"Fairbanks North Star Borough, Alaska",95555,91890,5669,0.06169332898030253,FAIRBANKS NORTH STAR BOROUGH,Alaska,AK
"Haines Borough, Alaska",2077,2068,126,0.0609284332688588,HAINES BOROUGH,Alaska,AK
"Hoonah-Angoon Census Area, Alaska",2313,2313,291,0.125810635538262,HOONAH-ANGOON CENSUS AREA,Alaska,AK
"Juneau City and Borough, Alaska",31969,31336,2565,0.08185473576716876,JUNEAU CITY AND BOROUGH,Alaska,AK
"Kenai Peninsula Borough, Alaska",59843,58456,6790,0.11615574107020665,KENAI PENINSULA BOROUGH,Alaska,AK
"Ketchikan Gateway Borough, Alaska",13870,13697,1300,0.09491129444403884,KETCHIKAN GATEWAY BOROUGH,Alaska,AK
"Kodiak Island Borough, Alaska",12878,12543,966,0.07701506816551064,KODIAK ISLAND BOROUGH,Alaska,AK
"Kusilvak Census Area, Alaska",8277,8185,2555,0.3121563836285889,KUSILVAK CENSUS AREA,Alaska,AK
"Lake and Peninsula Borough, Alaska",1007,998,152,0.1523046092184369,LAKE AND PENINSULA BOROUGH,Alaska,AK
"Matanuska-Susitna Borough, Alaska",110677,107815,11111,0.10305616101655614,MATANUSKA-SUSITNA BOROUGH,Alaska,AK
"Nome Census Area, Alaska",9925,9587,2026,0.21132783978303954,NOME CENSUS AREA,Alaska,AK
"North Slope Borough, Alaska",10891,10744,897,0.08348845867460908,NORTH SLOPE BOROUGH,Alaska,AK
"Northwest Arctic Borough, Alaska",7611,7519,1384,0.18406703019018486,NORTHWEST ARCTIC BOROUGH,Alaska,AK
"Petersburg Borough, Alaska",3394,3301,188,0.056952438654953044,PETERSBURG BOROUGH,Alaska,AK
"Prince of Wales-Hyder Census Area, Alaska",5730,5690,858,0.1507908611599297,PRINCE OF WALES-HYDER CENSUS AREA,Alaska,AK
"Sitka City and Borough, Alaska",8393,8209,688,0.0838104519429894,SITKA CITY AND BOROUGH,Alaska,AK
"Skagway Municipality, Alaska",1308,1308,81,0.06192660550458716,SKAGWAY MUNICIPALITY,Alaska,AK
"Southeast Fairbanks Census Area, Alaska",6936,6867,911,0.1326634629386923,SOUTHEAST FAIRBANKS CENSUS AREA,Alaska,AK
"Wrangell City and Borough, Alaska",2106,2084,227,0.10892514395393474,WRANGELL CITY AND BOROUGH,Alaska,AK
"Yakutat City and Borough, Alaska",506,501,39,0.07784431137724551,YAKUTAT CITY AND BOROUGH,Alaska,AK
"Yukon-Koyukuk Census Area, Alaska",5271,5230,1086,0.20764818355640535,YUKON-KOYUKUK CENSUS AREA,Alaska,AK
"Apache County, Arizona",65680,64278,20070,0.31223746849621953,APACHE,Arizona,AZ
"Cochise County, Arizona",125458,119342,18544,0.15538536307419015,COCHISE,Arizona,AZ
"Coconino County, Arizona",144643,132808,23485,0.17683422685380398,COCONINO,Arizona,AZ
"Gila County, Arizona",53610,52303,9297,0.17775271016958874,GILA,Arizona,AZ
"Graham County, Arizona",38860,35747,6319,0.17677007860799507,GRAHAM,Arizona,AZ
"Greenlee County, Arizona",9452,9412,1016,0.10794730131746706,GREENLEE,Arizona,AZ
"La Paz County, Arizona",16605,16270,3001,0.1844499078057775,LA PAZ,Arizona,AZ
"Maricopa County, Arizona",4491987,4425433,497877,0.11250356744752435,MARICOPA,Arizona,AZ
"Mohave County, Arizona",217420,212617,35787,0.16831673854865792,MOHAVE,Arizona,AZ
"Navajo County, Arizona",107744,105125,25979,0.24712485136741974,NAVAJO,Arizona,AZ
"Pima County, Arizona",1049947,1021158,146560,0.14352333331374773,PIMA,Arizona,AZ
"Pinal County, Arizona",449219,429221,46664,0.10871788658989193,PINAL,Arizona,AZ
"Santa Cruz County, Arizona",48209,48023,9707,0.20213231160069134,SANTA CRUZ,Arizona,AZ
"Yavapai County, Arizona",241656,237390,29898,0.12594464804751673,YAVAPAI,Arizona,AZ
"Yuma County, Arizona",207685,200032,32921,0.1645786674132139,YUMA,Arizona,AZ
"Arkansas County, Arkansas",16773,16479,2425,0.14715698768129135,ARKANSAS,Arkansas,AR
"Ashley County, Arkansas",18722,18555,4215,0.22716248989490703,ASHLEY,Arkansas,AR
"Baxter County, Arkansas",42150,41701,6029,0.14457686866022398,BAXTER,Arkansas,AR
"Benton County, Arkansas",294541,290871,22138,0.07610934056678047,BENTON,Arkansas,AR
"Boone County, Arkansas",37896,37329,5018,0.13442631734040558,BOONE,Arkansas,AR
