ori,county,state_abbr,state_name,agency_name,agency_type_name,is_nibrs,nibrs_start_date,latitude,longitude
CO0050700,BACA,CO,Colorado,Walsh Police Department,City,true,2004-10-01,37.306678,-102.537765
CO0050000,BACA,CO,Colorado,Baca County Sheriff's Office,County,true,1997-01-01,37.41247,-102.61426
CO0050100,BACA,CO,Colorado,Springfield Police Department,City,true,2003-01-01,37.406647,-102.61652
CO0060000,BENT,CO,Colorado,Bent County Sheriff's Office,County,true,1997-01-01,37.931891,-103.077584
CO0330000,LAKE,CO,Colorado,Lake County Sheriff's Office,County,true,1997-01-01,39.205341,-106.350079
CO0330100,LAKE,CO,Colorado,Leadville Police Department,City,true,1997-01-01,39.25045,-106.29249
CO0390400,MESA,CO,Colorado,De Beque Police Department,City,true,1997-01-01,39.019492,-108.461837
CO0390000,MESA,CO,Colorado,Mesa County Sheriff's Office,County,true,1997-01-01,39.068436,-108.57308
CO0390100,MESA,CO,Colorado,Grand Junction Police Department,City,true,1997-01-01,39.019492,-108.461837
CO0390200,MESA,CO,Colorado,Fruita Police Department,City,true,2011-01-01,39.157085,-108.733734
CO0390300,MESA,CO,Colorado,Palisade Police Department,City,true,1997-01-01,39.019492,-108.461837
CO0470100,PARK,CO,Colorado,Fairplay Police Department,City,true,1997-09-01,39.118914,-105.717648
CO0470000,PARK,CO,Colorado,Park County Sheriff's Office,County,true,1997-01-01,39.118914,-105.717648
CO0622700,WELD,CO,Colorado,Garden City Police Department,City,true,2012-01-01,40.39324,-104.68806
CO0620000,WELD,CO,Colorado,Weld County Sheriff's Office,County,true,2005-01-01,40.45202,-104.71033
CO0620100,WELD,CO,Colorado,Fort Lupton Police Department,City,true,1997-01-01,40.080627,-104.8129
CO0620200,WELD,CO,Colorado,Greeley Police Department,City,true,2005-01-01,40.422905,-104.72735
CO0620300,WELD,CO,Colorado,Eaton Police Department,City,true,1997-01-01,40.526012,-104.71326
CO0620400,WELD,CO,Colorado,Evans Police Department,City,true,2012-01-01,40.377373,-104.69789
CO0620500,WELD,CO,Colorado,La Salle Police Department,City,true,2012-01-01,40.350674,-104.703735
CO0620800,WELD,CO,Colorado,Dacono Police Department,City,true,1997-05-01,40.555794,-104.383649
