state_abbr,county,offense,total_2023,latitude,longitude
NY,WYOMING,Violent Crime,54.5,42.535408,-78.42481
NY,OTSEGO,Property Crime,483.0,42.69997,-74.92187
KS,DONIPHAN,Property Crime,63.0,39.788502,-95.147225
AL,WALKER,Violent Crime,170.0,33.832783,-87.276886
TN,RHEA,Property Crime,285.0,35.600587,-84.949552
KY,HARLAN,Property Crime,68.0,36.859223,-83.221497
CA,DEL NORTE,Property Crime,633.0,41.754265,-124.20122
TX,SMITH,Property Crime,3437.0,32.375106,-95.268743
VA,LUNENBURG,Violent Crime,21.0,36.945757,-78.242313
WI,RICHLAND,Violent Crime,20.0,43.334644,-90.3864
KS,HARVEY,Property Crime,472.0,38.051147,-97.34464
NM,TORRANCE,Violent Crime,53.0,34.554466,-105.887952
FL,BRADFORD,Violent Crime,44.0,29.952386,-82.16729
GA,WHITE,Violent Crime,9.0,34.618458,-83.75649
AK,SKAGWAY,Violent Crime,3.0,59.575097,-135.335418
WI,SHAWANO,Property Crime,322.0,44.785328,-88.60949
IA,CLAYTON,Violent Crime,23.0,42.891697,-91.356926
FL,MIAMI-DADE,Property Crime,56075.0,25.610494,-80.499045
WV,HARDY,Property Crime,101.0,39.062195,-78.968025
KY,FRANKLIN,Violent Crime,92.0,38.19979,-84.85649
MO,NODAWAY,Property Crime,238.0,40.34886,-94.87048
KY,GRAYSON,Property Crime,154.0,37.458577,-86.344011
IL,HANCOCK,Violent Crime,5.0,40.393085,-91.345215
RI,BRISTOL,Property Crime,237.0,41.729374,-71.28225
NY,STEUBEN,Property Crime,899.0,42.957077,-77.34294
MN,SIBLEY,Property Crime,52.0,44.575734,-94.230123
WY,JOHNSON,Violent Crime,9.0,44.044048,-106.588541
NE,BLAINE,Property Crime,0.0,41.92523,-99.990771
NY,WYOMING,Property Crime,195.0,42.535408,-78.42481
MD,WORCESTER,Property Crime,1098.0,38.39765,-75.16003
AL,JEFFERSON,Property Crime,14095.5,33.553444,-86.896536
NY,ULSTER,Property Crime,1278.0,41.947216,-74.265458
TX,LAMB,Property Crime,138.0,34.068861,-102.348018
