state_abbr,state_name,total_population,poverty_universe,below_poverty,poverty_rate_pct,total_crime_property,total_crime_violent,crime_rate_per_100k_property,crime_rate_per_100k_violent,latitude,longitude
AK,Alaska,733406.0,717303.0,74353.0,10.365633491007287,13983,5385,1906.5838021505142,734.2454247715455,39.50315,-78.76863
AL,Alabama,5108468.0,4960839.0,773166.0,15.5853878749139,86457,19869,1692.4252045818826,388.94243832006,43.09645,-78.39086
AR,Arkansas,3067732.0,2980358.0,466624.0,15.656642591259171,68327,18870,2227.2806099098616,615.1124022567813,37.58288,-82.73238
AZ,Arizona,7431344.0,7274129.0,905418.0,12.447098477357219,140004,31644,1883.9660766612337,425.8179946992091,15.63333,-87.31667
CA,California,38965193.0,38249686.0,4588687.0,11.996665802694432,906577,201216,2326.6329002912935,516.3993413300942,38.62753,-92.56658
CO,Colorado,5877610.0,5757114.0,536507.0,9.319026859638353,173168,28643,2946.2315464959397,487.3239292841818,32.38817,-100.86456
CT,Connecticut,3617176.0,3521952.0,362024.0,10.279072514332961,57069,5554,1577.722510599429,153.5451965842967,40.6976,-74.2632
DC,District of Columbia,678972.0,649438.0,91068.0,14.022585681774089,29431,7848,4334.641192862151,1155.865043035648,38.88761,-77.0447
DE,Delaware,1031890.0,1007022.0,106027.0,10.528766998139067,20203,4087,1957.863725784725,396.06934847706634,40.29867,-83.06797
FL,Florida,22610726.0,22139460.0,2729519.0,12.328751469096355,243465,51532,1076.7677251937862,227.90953284737517,-34.09556,-56.21417
GA,Georgia,11029227.0,10765238.0,1461317.0,13.574404950452559,188798,36466,1711.7972093601843,330.6306053905682,41.99998,43.4999
HI,Hawaii,1435138.0,1398532.0,141925.0,10.148141050758937,31504,3499,2195.1895915236023,243.80930614338135,13.86036,-90.41127
IA,Iowa,3207004.0,3108670.0,351224.0,11.298207915282097,45404,8531,1415.7762197989152,266.01151729152815,38.45279,-99.90651
ID,Idaho,1964726.0,1915282.0,193635.0,10.109999467441348,16454,4729,837.4704666197729,240.69514018748671,39.08812,-83.14185
IL,Illinois,12549689.0,12268020.0,1426517.0,11.627931809697083,204121,36618,1626.50245755094,291.78412309659626,38.28672,-90.38012
IN,Indiana,6862199.0,6672209.0,821401.0,12.310780432687285,99215,22311,1445.8193357552002,325.12901476625785,40.62146,-79.15253
KS,Kansas,2940547.0,2854559.0,319652.0,11.197946863245777,58201,12176,1979.2576007117043,414.0726198220943,36.20509,-94.79773
KY,Kentucky,4526154.0,4402485.0,720642.0,16.368982517827998,71351,10465,1576.4156500198624,231.21175284800296,-30.76143,151.44888
LA,Louisiana,4573749.0,4448119.0,840146.0,18.88766914734071,111444,24824,2436.600696715102,542.7495037440839,39.44894,-91.05153
MA,Massachusetts,7001399.0,6780372.0,706730.0,10.423174421698397,79828,22740,1140.1721284560413,324.792230809871,42.29593,-71.01199
MD,Maryland,6180253.0,6048665.0,574160.0,9.492342525168777,134145,27464,2170.5422091943487,444.3831021157224,33.64067,-90.34814
ME,Maine,1395722.0,1355422.0,140460.0,10.362824271702834,15961,1454,1143.5658390424455,104.17547333924664,42.19257,-76.06104
MI,Michigan,10037261.0,9827315.0,1326740.0,13.500533970876075,156846,45724,1562.637456573063,455.5426027080495,48.025,-98.11705
MN,Minnesota,5737915.0,5617947.0,520602.0,9.266765955606203,98907,15132,1723.7446006084092,263.719486956499,44.55885,-95.98559
MO,Missouri,6196156.0,6025993.0,720210.0,11.951723143388982,132283,28742,2134.9204248569595,463.86824347224314,45.67965,-111.03856
MS,Mississippi,2939690.0,2841691.0,512184.0,18.023916041540055,29009,3786,986.8047311111036,128.78909000608908,30.38186,-89.04392
MT,Montana,1132812.0,1107806.0,129804.0,11.717214024838283,20930,5032,1847.61460860231,444.204333993637,43.4125,23.225
NC,North Carolina,10835491.0,10549944.0,1349302.0,12.789660305305887,221301,41837,2042.371683941226,386.1107909184734,30.72697,-84.35088
ND,North Dakota,783926.0,755048.0,73841.0,9.779643148515062,15417,2207,1966.6397083398178,281.53167518362704,46.24027,-100.51929
NE,Nebraska,1978379.0,1931461.0,202078.0,10.462442679401757,27582,3361,1394.1716930881291,169.88655864220152,37.35709,-78.82529
NH,New Hampshire,1402054.0,1362544.0,97935.0,7.187657793069436,12849,1617,916.4411641776993,115.33079325047396,40.55616,-83.95272
NJ,New Jersey,9290841.0,9131628.0,886772.0,9.710995673498745,136995,20142,1474.5166772308341,216.79415243463967,10.23333,-61.63333
NM,New Mexico,2114371.0,2075116.0,368669.0,17.76618752879357,58360,14918,2760.1589314268876,705.5526206138846,39.16976,-91.88295
