Utility.Number,Utility.Name,Utility.State,Utility.Type,Demand.Summer Peak,Demand.Winter Peak,Sources.Generation,Sources.Purchased,Sources.Other,Sources.Total,Uses.Retail,Uses.Resale,Uses.No Charge,Uses.Consumed,Uses.Losses,Uses.Total,Revenues.Retail,Revenue.Delivery,Revenue.Resale,Revenue.Adjustments,Revenue.Transmission,Revenue.Other,Revenue.Total,Retail.Residential.Revenue,Retail.Residential.Sales,Retail.Residential.Customers,Retail.Commercial.Revenue,Retail.Commercial.Sales,Retail.Commercial.Customers,Retail.Industrial.Revenue,Retail.Industrial.Sales,Retail.Industrial.Customers,Retail.Transportation.Revenue,Retail.Transportation.Sales,Retail.Transportation.Customers,Retail.Total.Revenue,Retail.Total.Sales,Retail.Total.Customers,Year
55,City of Aberdeen - (MS),MS,Municipal,31.0,30.0,0,176293,0,176293,161870,0,0,31,14392,176293,11973.0,0.0,0.0,0.0,0.0,280.1,176293,3740.0,33274.0,2629.0,4407.0,41236.0,675.0,3826.0,87360.0,2.0,0.0,0.0,0.0,11973.0,161870.0,3306.0,2020
84,A & N Electric Coop,VA,Cooperative,162.0,147.0,423,712367,0,712790,674902,0,0,1667,36221,712790,72623.0,0.0,0.0,0.0,0.0,710.0,712790,264.0,2078.0,269.0,69.0,541.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,2619.0,313.0,2020
84,A & N Electric Coop,VA,Cooperative,162.0,147.0,423,712367,0,712790,674902,0,0,1667,36221,712790,72623.0,0.0,0.0,0.0,0.0,710.0,712790,42165.0,348316.0,31765.0,16825.0,153950.0,4368.0,13300.0,170017.0,8.0,0.0,0.0,0.0,72290.0,672283.0,36141.0,2020
108,Adams-Columbia Electric Coop,WI,Cooperative,146.6,81.2,0,562640,0,562640,531662,92,0,1012,29874,562640,70708.0,0.0,7.0,0.0,0.0,94.0,562640,43697.0,274080.0,34633.0,10302.0,82909.0,2387.0,16709.0,174673.0,969.0,0.0,0.0,0.0,70708.0,531662.0,37989.0,2020
113,Agway Energy Services LLC,NY,Retail Power Marketer,53.0,42.0,0,249193,0,249193,245140,0,0,0,4053,249193,18056.6,0.0,0.0,0.0,0.0,0.0,249193,7.9,85.0,9.0,1.7,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,104.0,11.0,2020
113,Agway Energy Services LLC,NY,Retail Power Marketer,53.0,42.0,0,249193,0,249193,245140,0,0,0,4053,249193,18056.6,0.0,0.0,0.0,0.0,0.0,249193,12866.5,175490.0,22040.0,3187.6,47336.0,3752.0,0.0,0.0,0.0,0.0,0.0,0.0,16054.1,222826.0,25792.0,2020
113,Agway Energy Services LLC,NY,Retail Power Marketer,53.0,42.0,0,249193,0,249193,245140,0,0,0,4053,249193,18056.6,0.0,0.0,0.0,0.0,0.0,249193,1766.7,19522.0,1951.0,226.2,2688.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.9,22210.0,2041.0,2020
155,Agralite Electric Coop,MN,Cooperative,43.6,39.7,492,245723,0,246215,233020,0,301,0,12894,246215,22581.0,0.0,0.0,0.0,0.0,-421.0,246215,10134.0,82048.0,4391.0,6191.0,82577.0,296.0,6256.0,68395.0,580.0,0.0,0.0,0.0,22581.0,233020.0,5267.0,2020
162,Aiken Electric Coop Inc,SC,Cooperative,218.2,223.9,0,939239,0,939239,900029,0,0,1021,38189,939239,109814.0,0.0,0.0,0.0,0.0,1223.0,939239,83563.1,609748.0,46101.0,15287.8,130760.0,3190.0,10963.1,159521.0,16.0,0.0,0.0,0.0,109814.0,900029.0,49307.0,2020
176,Ajo Improvement Co,AZ,Investor Owned,3.1,1.7,0,8847,0,8847,8847,0,0,0,0,8847,812.0,0.0,0.0,0.0,0.0,0.0,8847,539.1,5742.0,823.0,272.9,3105.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,812.0,8847.0,1038.0,2020
